"13","4","3","5","5","5","5","4","5","4","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso"
"14","4","4","3","4","5","5","5","4","3","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso"
"15","3","5","5","5","5","5","5","3","5","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso"
"16","5","5","5","5","5","5","5","4","5","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso"
"17","5","5","3","4","5","3","5","5","3","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso","não tenho uma opinião sobre isso"
"18","4","4","5","5","5","4","5","3","3","Não sei","Não sei","Desenhar o miranha"
"19","4","4","5","5","5","4","5","3","3","Não sei","Não sei","Desenhar o miranha"
"20","3","4","1","3","2","5","4","5","5","Não sei","Não sei","Sendo humilde"
"21","5","5","5","5","5","5","5","5","5","Nada","Nada","Sendo engraçado"
"0","4","4","3","3","5","5","5","5","5","Não sei","Não sei","Sendo gente fina"
"1","5","5","4","5","4","5","5","5","5","Se expressar mais","Nada","Estudando bastante"
"2","3","4","4","3","3","4","5","3","3","Não sei","Não sei","Não sei"
"3","5","5","2","3","1","4","3","3","3","Se expressar mais claramente","Não sei","Estudando muito"
"4","5","5","5","5","5","5","5","5","5","Nada","De ficar triste","Sendo gente fina"
"5","5","5","4","5","5","4","5","4","5","Não sei","Não sei","Sendo humilde"
"6","5","4","5","5","5","5","5","5","5","A estar mais presente a  noite com o resto da equipe","Nada","Sendo gente fina"
"7","3","4","3","3","4","4","4","5","5","Não sei","Não sei","Não sei"
"8","5","3","5","5","5","5","5","5","5","Nada","Nada","Sendo engraçada"
"9","4","4","5","5","5","5","5","4","5","Não sei","De arrumar intriga","Sendo engraçada"
"10","5","4","4","5","4","5","4","5","4","Não sei","Não sei","Sendo gente fina"
"11","5","5","5","5","5","5","5","5","5","Nada","Nada","Tudo"
"12","5","5","5","5","5","5","5","5","5","Nada","Nada","Tudo"
"13","4","5","4","5","5","4","4","4","4","Não sei","Não sei","Sendo engraçado"
